FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,30.898194444444446,28
6037,-118.261862,34.196398,6.965805555555556,66
6081,-122.371542,37.414664,12.548583333333333,29
34027,-74.547427,40.858581,36.967888888888886,5
5005,-92.330438,36.28071,20.53872222222222,2
36093,-74.043583,42.817542,37.80625,2
12117,-81.13198,28.690079,32.734722222222224,2
25023,-70.741942,41.987196,41.10125,4
34023,-74.407585,40.439593,36.914027777777775,6
36103,-72.692218,40.943554,38.81872222222222,15
40143,-95.941731,36.120121,16.48975,10
1083,-86.9814,34.810239,25.345666666666666,1
34035,-74.61993,40.565522,36.697916666666664,9
18067,-86.114118,40.483537,27.058305555555553,3
39155,-80.767656,41.308936,31.58877777777778,4
23005,-70.330375,43.808348,42.29355555555555,7
12086,-80.499045,25.610494,36.16113888888889,5
4015,-113.749689,35.717705,4.96675,1
44007,-71.578242,41.870488,40.17513888888889,7
42049,-80.096386,42.117952,32.38875,4
26161,-83.844634,42.252327,30.204527777777777,20
25025,-71.020173,42.33196,40.664944444444444,21
26049,-83.706372,43.021077,30.68186111111111,32
18089,-87.374337,41.472239,27.184583333333332,3
26159,-86.305697,42.283986,28.34275,12
44005,-71.284063,41.502732,40.400777777777776,2
12103,-82.739518,27.903122,32.92863888888889,2
17177,-89.665994,42.349726,26.495472222222222,1
26081,-85.547446,43.032497,29.435222222222222,26
12031,-81.648113,30.335245,30.93786111111111,2
34005,-74.663006,39.875786,36.829861111111114,3
55087,-88.464988,44.418226,28.69911111111111,1
26163,-83.261953,42.284664,30.53141666666667,48
50027,-72.591515,43.588143,40.269222222222226,1
17031,-87.645455,41.894294,27.16563888888889,17
42017,-75.10706,40.336887,36.35230555555555,4
12011,-80.476658,26.19352,35.54397222222222,16
17043,-88.086038,41.852058,26.848444444444443,4
6087,-122.007205,37.012488,11.921972222222221,21
51600,-77.299025,38.853183,35.17813888888889,5
42003,-79.98092,40.46892,31.75483333333333,11
48167,-94.894865,29.228706,18.602694444444445,1
39035,-81.724217,41.760392,31.171944444444446,4
51650,-76.297149,37.04803,35.853611111111114,2
Windsor CAN,-83.026772,42.317432,30.73575,62
25027,-71.940282,42.311693,40.08280555555556,8
39049,-83.008258,39.969447,28.773027777777777,13
33011,-71.723101,42.911643,40.87513888888889,13
18141,-86.288159,41.617699,28.050361111111112,9
34039,-74.308696,40.659871,37.009,6
26139,-86.655342,42.942346,29.163166666666665,5
39061,-84.544187,39.196927,27.747666666666667,4
36017,-75.604905,42.489732,37.001194444444444,1
48231,-96.083807,33.123438,16.8285,1
25017,-71.396507,42.479477,40.60608333333333,21
9003,-72.732916,41.806053,39.16825,17
8069,-105.482131,40.663091,15.406638888888889,3
19103,-91.588812,41.668737,23.894305555555555,1
55043,-90.695368,42.870062,25.840249999999997,1
9013,-72.340977,41.858076,39.39544444444444,3
36067,-76.196117,43.00653,36.02591666666667,1
25013,-72.635648,42.136198,39.264500000000005,4
12099,-80.448673,26.645763,35.11130555555555,6
12085,-80.398211,27.079954,34.734,1
Pickering CAN,-79.086761,43.838413,34.77088888888889,3
36055,-77.664656,43.464475,34.99005555555556,9
26099,-82.910869,42.671467,31.18138888888889,15
34007,-74.961251,39.802352,36.62419444444445,5
33005,-72.248217,42.925455,40.07241666666667,5
34041,-75.009542,40.853524,36.451611111111106,3
42131,-76.00878,41.525137,36.333527777777775,1
34031,-74.300308,41.033763,37.12583333333333,2
42133,-76.728446,39.921839,34.93938888888889,1
9009,-72.900204,41.349717,38.738861111111106,9
36089,-75.074311,44.488113,38.215222222222216,1
48201,-95.393037,29.857273,17.772083333333335,17
12009,-80.700384,28.298276,33.126638888888884,4
18097,-86.135794,39.782976,26.201722222222223,6
9007,-72.524227,41.434525,39.28513888888889,5
9005,-73.235428,41.791897,38.94702777777778,6
26115,-83.487106,41.916097,30.07563888888889,5
36001,-73.974014,42.588271,38.2235,4
6085,-121.690622,37.220777,11.632416666666666,14
55133,-88.306707,43.019308,27.69225,20
36059,-73.589384,40.729687,37.96080555555555,31
42091,-75.370201,40.209999,36.08233333333333,4
39095,-83.468867,41.682321,29.813222222222223,6
45045,-82.372077,34.892645,30.341,5
34021,-74.703724,40.282503,36.49238888888889,15
6067,-121.340441,38.450011,12.177833333333332,12
Longueuil CAN,-73.510712,45.536945,39.78311111111111,23
34033,-75.357356,39.573828,36.636833333333335,1
33001,-71.425366,43.519109,41.49847222222222,4
