Lat,Lng,Density
21.3243,-157.84755,35
21.3244,-157.84755,35
21.32455,-157.84763,35
21.32464,-157.84773,35
21.32504,-157.84843,35
21.32469,-157.84868,35
21.32443,-157.84886,35
21.32404,-157.84913,35
21.32356,-157.84945,35
21.32266,-157.85013,35
21.32125,-157.85144,35
21.3209,-157.85179,35
21.32077,-157.85192,35
21.32074,-157.85194,35
21.32049,-157.85216,35
21.32034,-157.85231,35
21.32029,-157.85235,35
21.32012,-157.8525,35
21.3199,-157.85271,35
21.31985,-157.85276,35
21.31968,-157.85292,35
21.3192,-157.85337,35
21.31906,-157.85349,35
21.31905,-157.8535,35
21.31892,-157.85362,35
21.31887,-157.85366,35
21.31879,-157.85373,35
21.31852,-157.85397,35
21.3178,-157.85462,35
21.31757,-157.85487,35
21.31737,-157.85506,35
21.31717,-157.85525,35
21.31693,-157.85548,35
21.31656,-157.85584,35
21.31734,-157.85651,35
21.31778,-157.85686,35
21.31826,-157.8573,35
21.31829,-157.85732,35
21.31852,-157.85752,35
21.31893,-157.8578,35
21.31921,-157.85806,35
21.31925,-157.85816,35
21.31972,-157.85862,35
21.32002,-157.85888,35
21.32068,-157.85946,35
21.32089,-157.8597,35
21.32135,-157.86007,35
21.32172,-157.86031,35
21.32256,-157.86104,35
21.32291,-157.86133,35
21.32306,-157.86154,35
21.32318,-157.86169,35
21.32328,-157.86184,35
21.32339,-157.86201,35
21.32348,-157.86218,35
21.32356,-157.86235,35
21.32364,-157.86254,35
21.32369,-157.86273,35
21.32375,-157.86292,35
21.32379,-157.86311,35
21.32383,-157.86332,35
21.32399,-157.86428,35
21.32403,-157.86447,35
21.32408,-157.86469,35
21.32414,-157.86487,35
21.32421,-157.86506,35
21.3243,-157.86525,35
21.32439,-157.86543,35
21.3245,-157.86561,35
21.32461,-157.86576,35
21.32468,-157.86589,35
21.32479,-157.86601,35
21.3249,-157.86612,35
21.32501,-157.86623,35
21.32514,-157.86634,35
21.32527,-157.86645,35
21.32586,-157.86686,35
21.32639,-157.86725,35
21.32697,-157.86767,35
21.32746,-157.86801,35
21.32987,-157.86965,35
21.33032,-157.87,35
21.33053,-157.87017,35
21.33069,-157.87031,35
21.33091,-157.87049,35
21.33111,-157.87069,35
21.33128,-157.87086,35
21.33235,-157.87201,35
21.33321,-157.87294,35
21.33337,-157.87312,35
21.33363,-157.87344,35
21.33393,-157.87383,35
21.33406,-157.87402,35
21.33419,-157.8742,35
21.33432,-157.8744,35
21.33444,-157.8746,35
21.33456,-157.87478,35
21.3347,-157.87503,35
21.33479,-157.8752,35
21.3349,-157.8754,35
21.3352,-157.87606,35
21.33531,-157.87634,35
21.33542,-157.87659,35
21.33562,-157.87713,35
21.33572,-157.87745,35
21.33586,-157.87793,35
21.33591,-157.87813,35
21.33596,-157.87835,35
21.33601,-157.87859,35
21.33605,-157.87882,35
21.33609,-157.87905,35
21.33613,-157.87927,35
21.33616,-157.8795,35
21.33619,-157.87974,35
21.3363,-157.88079,35
21.33634,-157.88113,35
21.33639,-157.88137,35
21.33644,-157.88159,35
21.3365,-157.88182,35
21.33657,-157.88204,35
21.33666,-157.88225,35
21.33676,-157.88247,35
21.33687,-157.88267,35
21.337,-157.88287,35
21.33712,-157.88305,35
21.33726,-157.88323,35
21.33743,-157.88342,35
21.33759,-157.88357,35
21.33793,-157.88384,35
21.33825,-157.88404,35
21.33892,-157.88447,35
21.33945,-157.88481,35
21.33992,-157.88513,35
21.34039,-157.88544,35
21.34076,-157.8857,35
21.34104,-157.88589,35
21.34121,-157.88601,35
21.3414,-157.88615,35
21.34152,-157.88627,35
21.34166,-157.8864,35
21.34179,-157.88656,35
21.34192,-157.8867,35
21.34203,-157.88687,35
21.34213,-157.88701,35
21.34226,-157.88722,35
21.34236,-157.88743,35
21.34245,-157.88762,35
21.34255,-157.88786,35
21.34262,-157.88808,35
21.34269,-157.88835,35
21.34285,-157.88908,35
21.34309,-157.89014,35
21.34316,-157.89037,35
21.34323,-157.89057,35
21.34331,-157.89079,35
21.34339,-157.891,35
21.3435,-157.89122,35
21.3436,-157.89143,35
21.34371,-157.89163,35
21.34382,-157.89181,35
21.34397,-157.89204,35
21.34414,-157.89226,35
21.34432,-157.89245,35
21.34449,-157.8926,35
21.34468,-157.89275,35
21.34484,-157.89289,35
21.34502,-157.89301,35
21.34525,-157.89318,35
21.34567,-157.89349,35
21.34614,-157.89382,35
21.34671,-157.89422,35
21.34795,-157.8951,35
21.34814,-157.89523,35
21.34833,-157.89537,35
21.34851,-157.89549,35
21.3487,-157.8956,35
21.3489,-157.8957,35
21.34908,-157.89578,35
21.34938,-157.89589,35
21.34952,-157.89594,35
21.34973,-157.89601,35
21.34995,-157.89607,35
21.35016,-157.89612,35
21.35038,-157.89617,35
21.35059,-157.8962,35
21.35082,-157.89624,35
21.35104,-157.89625,35
21.35126,-157.89627,35
21.35148,-157.89627,35
21.3517,-157.89626,35
21.35269,-157.8962,35
21.35302,-157.8962,35
21.35314,-157.89621,35
21.35324,-157.89622,35
21.35335,-157.89624,35
21.35346,-157.89627,35
21.35357,-157.8963,35
21.35368,-157.89633,35
21.35378,-157.89637,35
21.35389,-157.89641,35
21.35399,-157.89646,35
21.35409,-157.89651,35
21.35419,-157.89656,35
21.35429,-157.89662,35
21.35438,-157.89669,35
21.35448,-157.89676,35
21.35456,-157.89682,35
21.35466,-157.8969,35
21.3548,-157.89703,35
21.35573,-157.898,35
21.3559,-157.89818,35
21.35609,-157.89835,35
21.35623,-157.89847,35
21.35638,-157.89859,35
21.35654,-157.8987,35
21.35674,-157.89882,35
21.35692,-157.89892,35
21.35711,-157.89902,35
