Lat,Lng
40.0696,-75.12538
40.13459,-75.19458
40.0878,-75.35734
40.06527,-75.65422
40.14571,-75.81848
40.24603,-76.21525
40.19708,-76.82098
40.22843,-77.13891
40.20254,-77.3748
40.14295,-77.64316
40.15822,-77.70401
40.08721,-77.82947
40.03712,-77.9961
40.05986,-78.09329
39.98471,-78.23855
40.00301,-78.43016
40.0507,-78.53424
39.95488,-78.81771
39.99707,-79.03652
40.10391,-79.20619
40.12909,-79.29148
40.10822,-79.3785
40.21353,-79.59364
40.26819,-79.66726
40.38076,-79.67572
40.54983,-79.82606
40.66266,-80.0944
40.88543,-80.42947
40.94849,-80.62948
41.23949,-80.98662
41.25285,-81.58443
41.35522,-81.87788
41.39196,-82.12358
41.33468,-82.3706
41.32332,-82.61932
41.39639,-83.0945
41.52414,-83.46226
41.68844,-83.51511
41.99065,-83.32674
42.28853,-83.44369
42.54309,-83.4514
42.66095,-83.38423
40.0696,-75.12538
40.06541,-75.65509
40.24535,-76.17358
40.22828,-77.14992
39.95483,-78.81889
40.22411,-79.60463
39.94368,-81.99182
39.79826,-86.11493
38.48218,-90.84361
38.06437,-91.42271
37.74801,-92.58203
37.30444,-92.98176
37.04416,-94.50245
36.16388,-95.73495
35.76761,-96.62691
35.6094,-97.67422
35.46367,-97.71394
35.51613,-98.90975
35.23109,-99.78375
35.17954,-100.83314
35.26976,-102.72204
34.94335,-104.66712
35.11543,-106.32613
34.99412,-107.29589
35.07434,-107.75565
35.34826,-108.01481
35.53463,-108.68063
34.90516,-110.19104
35.20283,-111.41109
35.32294,-112.92709
35.15894,-113.55835
35.21357,-114.05072
34.73123,-114.27484
34.71856,-114.52973
34.89173,-114.69806
34.7168,-115.74433
34.88439,-117.05887
34.13958,-117.4929
34.19589,-118.25986
40.0696,-75.12538
40.22828,-77.14992
39.95747,-78.84752
41.24014,-80.98871
41.75547,-85.126
41.36461,-89.17314
41.6999,-93.20946
41.49867,-95.58076
40.81628,-96.76072
40.66942,-99.08451
41.13506,-100.95037
41.09539,-105.20119
41.75399,-106.51302
41.78925,-107.38905
41.24924,-111.06242
40.72174,-111.5207
40.7382,-114.05082
41.11137,-115.0409
40.61152,-116.8346
41.02585,-117.5926
39.6159,-119.21132
39.29897,-120.67242
38.33979,-122.01405
37.40559,-122.36861
40.0696,-75.12538
40.08051,-75.13026
40.08724,-75.15017
40.08237,-75.16128
40.10242,-75.19464
40.12327,-75.20475
40.13376,-75.19887
40.16321,-75.10538
40.16274,-75.04893
40.12804,-74.95355
40.12351,-74.85383
40.09591,-74.77572
40.09851,-74.72819
40.16664,-74.64677
40.24695,-74.52021
40.41325,-74.44769
40.48199,-74.40212
40.51739,-74.36198
40.54124,-74.29627
40.54071,-74.30794
40.58173,-74.3304
40.64202,-74.2888
40.68229,-74.27696
40.70902,-74.24495
40.71289,-74.32398
40.79974,-74.44084
40.83376,-74.43729
40.87222,-74.522
40.86559,-74.55756
40.85293,-74.55253
40.85705,-74.54544
40.0696,-75.12538
40.13459,-75.19458
40.06541,-75.65509
40.24535,-76.17358
40.22828,-77.14992
40.15822,-77.70401
39.98489,-78.23711
40.05068,-78.53622
39.95483,-78.81889
40.22411,-79.60463
40.10732,-79.89961
40.18867,-80.24668
40.0427,-80.60923
40.05966,-81.30511
39.94368,-81.99182
39.98146,-83.24269
39.86506,-83.99737
39.79826,-86.11493
39.56224,-86.64833
39.44949,-87.11446
39.41954,-87.70791
39.05358,-88.71392
38.75202,-89.90078
38.61626,-90.17078
38.48253,-90.84264
38.1653,-91.22067
37.97426,-91.75519
37.76855,-91.85829
37.4018,-91.87847
37.12668,-92.09358
36.96731,-91.93164
36.71774,-91.87299
36.62901,-91.95836
36.61436,-92.10476
36.28228,-92.33272
40.0696,-75.12538
40.13358,-75.19919
40.16319,-75.05121
40.09744,-74.73149
40.24464,-74.52279
40.48251,-74.40173
40.54124,-74.29627
40.58173,-74.3304
40.88192,-74.16471
40.92818,-74.07262
41.14899,-74.18834
41.22336,-74.18419
41.41849,-74.06907
41.88355,-74.05788
42.417,-73.80799
42.62777,-73.77862
42.75355,-73.9317
42.81263,-73.95187
42.81478,-74.04644
40.0696,-75.12538
39.90562,-75.19435
39.83405,-75.4243
39.7191,-75.54209
39.57557,-76.13111
39.41941,-76.40633
39.19329,-76.71047
38.79472,-77.01973
38.78828,-77.1772
38.26966,-77.51471
37.58308,-77.47003
37.17046,-77.35086
36.87954,-77.40365
35.74227,-78.00689
35.58291,-78.14029
35.37445,-78.54312
34.91308,-78.95379
34.63862,-79.01886
34.18121,-79.86172
33.49191,-80.46839
32.87538,-80.71827
32.28416,-81.06899
32.14975,-81.23965
31.34528,-81.46304
30.8809,-81.68628
30.46115,-81.64882
30.4191,-81.56637
30.04326,-81.49634
29.12132,-81.07127
28.7984,-81.21289
28.69674,-81.13885
40.0696,-75.12538
40.12327,-75.20475
40.16321,-75.10538
40.16274,-75.04893
40.12804,-74.95355
40.12351,-74.85383
40.09591,-74.77572
40.09875,-74.72781
40.24774,-74.51945
40.48346,-74.40096
40.55858,-74.26364
40.74752,-74.11966
40.76864,-74.06417
40.84501,-74.01665
40.85842,-73.97755
40.84444,-73.92554
40.93,-73.85636
40.92266,-73.81603
40.95836,-73.79701
41.02975,-73.67989
41.09457,-73.6527
41.12025,-73.47915
41.17492,-73.31953
41.23145,-73.23398
41.24641,-73.08833
41.23322,-73.03359
41.30166,-72.91204
41.28172,-72.86465
41.29692,-72.75061
41.29046,-72.42025
41.32328,-72.33099
41.32518,-72.25047
41.37469,-72.19276
41.35892,-72.04937
41.37548,-71.91192
41.50945,-71.6944
41.61092,-71.65368
41.64881,-71.61355
41.6712,-71.48
41.719,-71.46963
41.79862,-71.40263
41.82184,-71.42017
41.86571,-71.40289
41.91245,-71.33624
42.02382,-71.26032
41.96403,-71.13522
41.95478,-71.03449
41.90093,-70.96485
41.92774,-70.80259
41.98499,-70.73846
40.0696,-75.12538
40.08051,-75.13026
40.08724,-75.15017
40.08237,-75.16128
40.09935,-75.18004
40.10242,-75.19464
40.12327,-75.20475
40.13376,-75.19887
40.13586,-75.17815
40.16008,-75.12705
40.16321,-75.10538
40.16274,-75.04893
40.1353,-74.98888
40.12804,-74.95355
40.12904,-74.89201
40.12351,-74.85383
40.11021,-74.80735
40.09591,-74.77572
40.09824,-74.72871
40.16664,-74.64677
40.24774,-74.51945
40.41325,-74.44769
40.47853,-74.40498
40.47716,-74.41169
40.44333,-74.39523
40.43942,-74.40819
40.0696,-75.12538
40.08051,-75.13026
40.08724,-75.15017
40.08237,-75.16128
40.10242,-75.19464
40.12327,-75.20475
40.13376,-75.19887
40.16321,-75.10538
40.16274,-75.04893
40.12804,-74.95355
40.12351,-74.85383
40.09591,-74.77572
40.09875,-74.72781
40.16664,-74.64677
40.24774,-74.51945
40.41325,-74.44769
40.48346,-74.40096
40.51739,-74.36198
40.55858,-74.26364
40.74752,-74.11966
40.76864,-74.06417
40.80696,-74.03159
40.84526,-74.01627
40.84168,-73.99595
40.85836,-73.9768
40.81702,-73.80012
40.78815,-73.79226
40.78725,-73.77624
40.75323,-73.74417
40.78483,-73.64863
40.77887,-73.57438
40.79932,-73.48737
40.78087,-73.41593
40.80266,-73.32524
40.82212,-72.97422
40.83206,-72.91762
40.88308,-72.76481
40.9197,-72.72497
40.93303,-72.67384
40.94575,-72.68722
40.0696,-75.12538
40.13459,-75.19458
40.06541,-75.65509
40.24535,-76.17358
40.22828,-77.14992
40.15822,-77.70401
39.98489,-78.23711
40.05068,-78.53622
39.95483,-78.81889
40.22411,-79.60463
40.10732,-79.89961
40.18867,-80.24668
40.0427,-80.60923
40.05966,-81.30511
39.94368,-81.99182
39.98146,-83.24269
39.86506,-83.99737
39.79831,-86.11465
39.56224,-86.64833
39.44949,-87.11446
39.41954,-87.70791
39.05358,-88.71392
38.75202,-89.90078
38.61626,-90.17078
38.48218,-90.84361
38.06437,-91.42271
37.94141,-91.94902
37.7867,-92.25259
37.74801,-92.58203
37.27433,-93.05071
37.18771,-93.6406
37.08606,-93.81905
37.08213,-94.36463
36.99612,-94.61794
36.16437,-95.73412
36.11975,-95.94167
40.0696,-75.12538
40.13459,-75.19458
40.06541,-75.65509
40.24422,-76.15974
40.24096,-77.11904
39.93392,-77.63201
39.66556,-77.73849
39.47191,-77.98817
39.04987,-78.24535
38.80826,-78.60055
38.13654,-79.02569
37.36861,-79.92144
36.95346,-80.86697
36.9658,-81.07959
36.75132,-81.87787
36.02545,-83.46737
36.01359,-83.85943
35.88391,-84.22569
35.19807,-84.87899
35.0063,-85.20782
35.02925,-85.35679
34.96784,-85.43466
35.04142,-85.69119
34.62599,-86.07296
34.60768,-86.26654
34.7742,-86.54308
34.62933,-86.89748
34.81024,-86.98198
40.0696,-75.12538
40.0832,-75.12743
40.09912,-75.11112
40.10319,-75.08589
40.11942,-75.06734
40.13946,-74.98806
40.12815,-74.96664
40.16051,-74.93895
40.1714,-74.91436
40.18848,-74.89598
40.1919,-74.87821
40.20375,-74.87484
40.22807,-74.88179
40.24509,-74.87866
40.26043,-74.84431
40.28564,-74.81882
40.28855,-74.80982
40.32455,-74.81616
40.32729,-74.79897
40.36134,-74.79605
40.36617,-74.78519
40.38087,-74.77826
40.4027,-74.72871
40.40783,-74.70249
40.42537,-74.70298
40.4651,-74.68212
40.46621,-74.66422
40.47132,-74.65814
40.50545,-74.64314
40.5101,-74.63302
40.52841,-74.6263
40.54015,-74.61372
40.56449,-74.62212
40.0696,-75.12538
40.13459,-75.19458
40.0878,-75.35734
40.06541,-75.65509
40.1441,-75.81365
40.24535,-76.17358
40.19702,-76.82264
40.22828,-77.14992
40.14295,-77.64316
40.15822,-77.70401
40.08721,-77.82947
40.03712,-77.9961
40.05986,-78.09329
39.98489,-78.23711
40.00301,-78.43016
40.05068,-78.53622
39.95483,-78.81889
40.00064,-79.04734
40.12876,-79.29009
40.10845,-79.3792
40.22411,-79.60463
40.10732,-79.89961
40.18867,-80.24668
40.13108,-80.32612
40.11916,-80.47968
40.0427,-80.60923
40.07811,-80.93693
40.05966,-81.30511
40.00365,-81.49803
40.00813,-81.64783
39.94368,-81.99182
39.93201,-82.92831
39.98146,-83.24269
39.86506,-83.99737
39.82883,-84.80645
39.8728,-84.88256
39.79964,-86.03038
40.03435,-86.13541
40.48387,-86.11412
40.0696,-75.12538
40.13459,-75.19458
40.0878,-75.35734
40.06541,-75.65509
40.1441,-75.81365
40.24535,-76.17358
40.19702,-76.82264
40.22832,-77.14837
40.14295,-77.64316
