team,FIPS,lng,lat
f,26125,-83.38421,42.660452
f,6037,-118.261862,34.196398
f,26163,-83.261953,42.284664
f,27053,-93.475185,45.006064
f,24510,-76.610516,39.300214
f,6081,-122.371542,37.414664
f,17031,-87.645455,41.894294
f,27053,-93.475185,45.006064
f,34027,-74.547427,40.858581
f,17111,-88.452245,42.324298
f,12103,-82.739518,27.903122
f,5005,-92.330438,36.28071
f,34017,-74.078627,40.731384
f,36119,-73.745912,41.15277
f,36093,-74.043583,42.817542
f,12117,-81.13198,28.690079
f,6037,-118.261862,34.196398
f,25023,-70.741942,41.987196
f,18105,-86.523325,39.160751
f,34023,-74.407585,40.439593
f,26125,-83.38421,42.660452
f,36103,-72.692218,40.943554
f,27037,-93.062481,44.670893
f,34025,-74.152446,40.287056
f,40143,-95.941731,36.120121
f,26125,-83.38421,42.660452
f,1083,-86.9814,34.810239
f,26121,-86.751892,43.289258
f,12086,-80.499045,25.610494
f,9005,-73.235428,41.791897
f,4021,-111.367257,32.91891
f,33011,-71.723101,42.911643
f,34035,-74.61993,40.565522
f,25017,-71.396507,42.479477
f,18067,-86.114118,40.483537
f,26049,-83.706372,43.021077
f,26125,-83.38421,42.660452
f,39155,-80.767656,41.308936
f,26145,-84.05541,43.328267
f,26125,-83.38421,42.660452
f,6037,-118.261862,34.196398
f,11001,-77.017094,38.904149
f,34035,-74.61993,40.565522
f,48201,-95.393037,29.857273
f,23005,-70.330375,43.808348
f,12086,-80.499045,25.610494
f,4015,-113.749689,35.717705
f,44007,-71.578242,41.870488
f,42049,-80.096386,42.117952
f,4013,-112.495534,33.346541
f,26125,-83.38421,42.660452
f,26161,-83.844634,42.252327
f,26125,-83.38421,42.660452
f,26125,-83.38421,42.660452
f,25025,-71.020173,42.33196
f,26049,-83.706372,43.021077
f,18089,-87.374337,41.472239
f,36055,-77.664656,43.464475
f,26159,-86.305697,42.283986
f,34035,-74.61993,40.565522
f,44005,-71.284063,41.502732
f,12103,-82.739518,27.903122
f,4013,-112.495534,33.346541
f,17177,-89.665994,42.349726
f,42015,-76.502124,41.791495
f,26081,-85.547446,43.032497
f,12031,-81.648113,30.335245
f,34005,-74.663006,39.875786
f,25023,-70.741942,41.987196
f,42081,-77.055253,41.343624
f,17043,-88.086038,41.852058
f,55087,-88.464988,44.418226
f,26163,-83.261953,42.284664
f,50027,-72.591515,43.588143
f,25013,-72.635648,42.136198
f,25025,-71.020173,42.33196
f,6081,-122.371542,37.414664
f,17031,-87.645455,41.894294
f,34035,-74.61993,40.565522
f,42095,-75.307447,40.752791
f,42029,-75.749732,39.973965
f,25027,-71.940282,42.311693
f,42101,-75.133346,40.009376
f,26159,-86.305697,42.283986
f,12011,-80.476658,26.19352
f,17043,-88.086038,41.852058
f,17043,-88.086038,41.852058
f,17043,-88.086038,41.852058
f,6081,-122.371542,37.414664
f,6087,-122.007205,37.012488
f,51600,-77.299025,38.853183
f,42003,-79.98092,40.46892
f,48167,-94.894865,29.228706
f,39035,-81.724217,41.760392
f,44005,-71.284063,41.502732
f,51650,-76.297149,37.04803
f,Windsor CAN,-83.026772,42.317432
f,9011,-72.103452,41.47863
f,25025,-71.020173,42.33196
f,25027,-71.940282,42.311693
f,48201,-95.393037,29.857273
f,39049,-83.008258,39.969447
f,33013,-71.68013,43.299485
f,33011,-71.723101,42.911643
f,12011,-80.476658,26.19352
f,23005,-70.330375,43.808348
f,33013,-71.68013,43.299485
f,18141,-86.288159,41.617699
f,34039,-74.308696,40.659871
f,33011,-71.723101,42.911643
f,25017,-71.396507,42.479477
f,26159,-86.305697,42.283986
f,39061,-84.544187,39.196927
f,36017,-75.604905,42.489732
f,12103,-82.739518,27.903122
f,48231,-96.083807,33.123438
f,25017,-71.396507,42.479477
f,34035,-74.61993,40.565522
f,9003,-72.732916,41.806053
f,42049,-80.096386,42.117952
f,25017,-71.396507,42.479477
f,39025,-84.149614,39.052084
f,8069,-105.482131,40.663091
f,24003,-76.560511,38.993374
f,33011,-71.723101,42.911643
