FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,18.560555555555556,28
6037,-118.261862,34.196398,22.764444444444443,66
6081,-122.371542,37.414664,27.532944444444446,29
34027,-74.547427,40.858581,23.690944444444444,5
5005,-92.330438,36.28071,7.7604444444444445,2
36093,-74.043583,42.817542,25.06202777777778,2
12117,-81.13198,28.690079,17.515527777777777,2
25023,-70.741942,41.987196,27.80538888888889,4
34023,-74.407585,40.439593,23.649944444444444,6
36103,-72.692218,40.943554,25.490222222222222,15
40143,-95.941731,36.120121,4.276138888888889,10
1083,-86.9814,34.810239,10.402277777777776,1
34035,-74.61993,40.565522,23.365166666666667,9
18067,-86.114118,40.483537,14.723722222222223,3
39155,-80.767656,41.308936,18.83752777777778,4
23005,-70.330375,43.808348,29.106,7
12086,-80.499045,25.610494,20.942416666666666,5
4015,-113.749689,35.717705,17.915027777777777,1
44007,-71.578242,41.870488,26.838305555555554,7
42049,-80.096386,42.117952,19.639916666666664,4
26161,-83.844634,42.252327,17.867277777777776,20
25025,-71.020173,42.33196,27.473388888888888,21
26049,-83.706372,43.021077,18.335916666666666,32
18089,-87.374337,41.472239,14.848972222222223,3
26159,-86.305697,42.283986,16.005416666666665,12
44005,-71.284063,41.502732,27.063694444444444,2
12103,-82.739518,27.903122,17.728916666666667,2
17177,-89.665994,42.349726,15.103361111111111,1
26081,-85.547446,43.032497,17.09283333333333,26
12031,-81.648113,30.335245,15.719694444444444,2
34005,-74.663006,39.875786,23.28236111111111,3
55087,-88.464988,44.418226,17.28186111111111,1
26163,-83.261953,42.284664,18.19913888888889,48
50027,-72.591515,43.588143,27.528333333333332,1
17031,-87.645455,41.894294,14.825555555555555,17
42017,-75.10706,40.336887,23.11511111111111,4
12011,-80.476658,26.19352,20.325,16
17043,-88.086038,41.852058,14.511166666666666,4
6087,-122.007205,37.012488,26.79988888888889,21
51600,-77.299025,38.853183,20.21186111111111,5
42003,-79.98092,40.46892,18.92813888888889,11
48167,-94.894865,29.228706,4.727305555555556,1
39035,-81.724217,41.760392,18.420194444444444,4
51650,-76.297149,37.04803,20.91922222222222,2
Windsor CAN,-83.026772,42.317432,18.40094444444444,62
25027,-71.940282,42.311693,26.841638888888887,8
39049,-83.008258,39.969447,16.027055555555556,13
33011,-71.723101,42.911643,27.98863888888889,13
18141,-86.288159,41.617699,15.699555555555555,9
34039,-74.308696,40.659871,23.676055555555557,6
26139,-86.655342,42.942346,16.823444444444444,5
39061,-84.544187,39.196927,14.55175,4
36017,-75.604905,42.489732,24.255444444444446,1
48231,-96.083807,33.123438,0.8117500000000001,1
25017,-71.396507,42.479477,27.4155,21
9003,-72.732916,41.806053,25.954583333333332,17
8069,-105.482131,40.663091,14.275749999999999,3
19103,-91.588812,41.668737,12.753666666666666,1
55043,-90.695368,42.870062,14.699527777777778,1
9013,-72.340977,41.858076,26.154,3
36067,-76.196117,43.00653,23.27738888888889,1
25013,-72.635648,42.136198,26.34155555555556,4
12099,-80.448673,26.645763,19.883527777777775,6
12085,-80.398211,27.079954,19.701583333333332,1
Pickering CAN,-79.086761,43.838413,22.427555555555553,3
36055,-77.664656,43.464475,22.242083333333333,9
26099,-82.910869,42.671467,18.848999999999997,15
34007,-74.961251,39.802352,22.97811111111111,5
33005,-72.248217,42.925455,27.32847222222222,5
34041,-75.009542,40.853524,23.11872222222222,3
42131,-76.00878,41.525137,23.40888888888889,1
34031,-74.300308,41.033763,23.79377777777778,2
42133,-76.728446,39.921839,21.64602777777778,1
9009,-72.900204,41.349717,25.413777777777778,9
36089,-75.074311,44.488113,25.466805555555556,1
48201,-95.393037,29.857273,3.665,17
12009,-80.700384,28.298276,17.907055555555555,4
18097,-86.135794,39.782976,13.867694444444444,6
9007,-72.524227,41.434525,26.009166666666665,5
9005,-73.235428,41.791897,25.807333333333332,6
26115,-83.487106,41.916097,17.74288888888889,5
36001,-73.974014,42.588271,25.47863888888889,4
6085,-121.690622,37.220777,26.6165,14
55133,-88.306707,43.019308,15.773527777777778,20
36059,-73.589384,40.729687,24.628888888888888,31
42091,-75.370201,40.209999,22.89763888888889,4
39095,-83.468867,41.682321,17.480444444444444,6
45045,-82.372077,34.892645,14.363611111111112,5
34021,-74.703724,40.282503,23.30163888888889,15
6067,-121.340441,38.450011,26.906166666666667,12
Longueuil CAN,-73.510712,45.536945,27.440055555555556,23
34033,-75.357356,39.573828,22.603166666666667,1
33001,-71.425366,43.519109,28.775361111111113,4
42101,-75.133346,40.009376,22.965138888888887,13
36047,-73.950777,40.635133,24.33325,10
54045,-81.940853,37.830591,16.46602777777778,1
51179,-77.459043,38.418933,20.10172222222222,1
36051,-77.76978,42.727485,22.145583333333335,2
45019,-79.94248,32.800458,16.78183333333333,5
45073,-83.061522,34.748759,13.952777777777778,1
51041,-77.585847,37.378434,19.7905,2
53053,-122.144709,47.040716,33.282944444444446,16
28047,-89.083376,30.416536,8.630638888888889,3
10003,-75.644132,39.575915,22.27036111111111,3
36085,-74.137063,40.563855,23.828194444444446,4
36063,-78.792143,43.456731,21.828444444444443,2
51087,-77.300333,37.437521,19.91111111111111,4
36005,-73.852939,40.848711,24.25825,12
51121,-80.387314,37.174885,16.548694444444447,1
48453,-97.69127,30.239513,3.2529166666666667,9
51760,-77.476009,37.531399,19.690277777777776,5
37183,-78.650624,35.789846,18.22961111111111,11
1089,-86.55108,34.764238,10.56086111111111,5
18095,-85.722454,40.166203,14.64675,1
11001,-77.017094,38.904149,20.65627777777778,15
28149,-90.851791,32.357005,5.612583333333333,1
48029,-98.520147,29.448671,4.494,19
18157,-86.893943,40.38926,14.309555555555557,4
42045,-75.398786,39.91667,22.62097222222222,10
53035,-122.649636,47.639687,33.49030555555556,22
53033,-121.832375,47.493554,32.135888888888886,14
4013,-112.495534,33.346541,16.796,31
19013,-92.306059,42.472888,12.997277777777777,4
1095,-86.321668,34.309564,11.069111111111113,1
47103,-86.593388,35.142532,10.831388888888888,1
34013,-74.246136,40.787217,23.76313888888889,8
2020,-149.274354,61.177549,70.67647222222222,1
36069,-77.303277,42.856695,22.412777777777777,11
6029,-118.729506,35.346629,23.167583333333333,3
37135,-79.119355,36.062499,17.71575,3
28099,-89.119274,32.752518,7.664083333333333,1
East York CAN,-79.341667,43.6912,22.264388888888888,16
51610,-77.174639,38.883787,20.325805555555554,5
51685,-77.448681,38.768991,20.16372222222222,5
51510,-77.082026,38.818343,20.53675,4
51540,-78.485381,38.037658,18.645166666666668,1
48157,-95.771015,29.526602,4.2861666666666665,6
36109,-76.473712,42.453281,23.3295,2
36081,-73.837929,40.658557,24.370194444444444,13
48027,-97.481921,31.04211,2.3281944444444442,5
17161,-90.572203,41.468404,13.255527777777779,2
8073,-103.507555,38.99374,10.997055555555557,1
24021,-77.397627,39.470427,20.388666666666666,3
34017,-74.078627,40.731384,23.772888888888886,4
39153,-81.534936,41.121851,18.09225,2
4021,-111.367257,32.91891,15.843472222222223,14
6095,-121.939594,38.267226,27.43236111111111,5
26145,-84.05541,43.328267,18.842138888888886,14
Vaughan CAN,-79.508278,43.837208,22.05361111111111,11
41017,-121.225575,43.915118,30.110666666666663,4
Mississauga CAN,-79.640579,43.59531,21.771833333333333,17
26069,-82.849447,44.329482,20.245722222222224,1
6073,-116.776117,33.023604,20.901638888888886,46
13067,-84.574166,33.93994,12.141944444444444,10
42077,-75.590627,40.614241,22.412166666666668,1
24037,-76.534271,38.222666,21.388416666666668,1
6013,-121.951543,37.919479,27.198500000000003,14
41003,-123.426317,44.490623,32.79136111111111,5
26061,-88.652066,46.998305,20.54438888888889,5
18057,-86.020586,40.04987,14.300222222222223,4
38035,-97.450851,47.926003,17.228305555555554,1
38095,-99.248158,48.682183,19.007722222222224,1
50017,-72.369687,44.003392,28.116055555555555,2
24027,-76.924406,39.252264,20.899333333333335,7
37063,-78.877919,36.036589,17.948416666666667,7
29510,-90.244582,38.635699,10.072722222222223,12
20079,-97.436707,38.050144,6.115833333333334,1
20209,-94.763087,39.115384,8.289388888888888,19
20059,-95.278962,38.558019,7.443694444444445,1
12095,-81.323295,28.514435,17.21186111111111,8
19113,-91.597674,42.077951,13.252138888888888,2
6079,-120.44754,35.385227,24.916444444444444,3
51083,-78.939614,36.766461,18.525805555555554,1
32003,-115.013819,36.214236,19.074944444444444,13
39017,-84.565397,39.439915,15.06725,2
45067,-79.362131,34.080701,16.992194444444443,2
33015,-71.099437,42.98936,28.173916666666667,8
Whitby CAN,-78.942932,43.897545,22.509944444444447,4
51085,-77.490992,37.760166,19.614305555555557,4
55131,-88.232917,43.391156,16.2665,6
29183,-90.674915,38.781102,10.17986111111111,5
9001,-73.366757,41.228103,25.011583333333334,7
13245,-82.074998,33.361487,14.289055555555555,6
20121,-94.832963,38.566772,7.570444444444444,1
24003,-76.560511,38.993374,21.14275,5
St. Catharines CAN,-79.246864,43.159374,21.61988888888889,3
51115,-76.268808,37.425348,21.00875,1
42069,-75.609587,41.44025,23.15761111111111,1
25021,-71.179875,42.169703,27.37775,7
8013,-105.398382,40.094826,13.277833333333332,3
35013,-106.832182,32.350912,10.6135,1
29189,-90.445954,38.640702,9.923972222222224,9
