FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,7.146861111111111,28
6037,-118.261862,34.196398,30.915888888888887,66
6081,-122.371542,37.414664,33.04627777777778,29
34027,-74.547427,40.858581,14.497805555555555,5
5005,-92.330438,36.28071,10.1595,2
36093,-74.043583,42.817542,15.045333333333332,2
12117,-81.13198,28.690079,20.574083333333334,2
25023,-70.741942,41.987196,18.340333333333334,4
34023,-74.407585,40.439593,15.134944444444445,6
36103,-72.692218,40.943554,16.525027777777776,15
40143,-95.941731,36.120121,11.586222222222222,10
1083,-86.9814,34.810239,11.308166666666667,1
34035,-74.61993,40.565522,14.841999999999999,9
18067,-86.114118,40.483537,5.383,3
39155,-80.767656,41.308936,8.952194444444444,4
23005,-70.330375,43.808348,19.53263888888889,7
12086,-80.499045,25.610494,24.000500000000002,5
4015,-113.749689,35.717705,28.002083333333335,1
44007,-71.578242,41.870488,17.78811111111111,7
42049,-80.096386,42.117952,9.627833333333333,4
26161,-83.844634,42.252327,6.453194444444445,20
25025,-71.020173,42.33196,17.904027777777777,21
26049,-83.706372,43.021077,6.537111111111111,32
18089,-87.374337,41.472239,3.43325,3
26159,-86.305697,42.283986,4.5914166666666665,12
44005,-71.284063,41.502732,18.06827777777778,2
12103,-82.739518,27.903122,20.768,2
17177,-89.665994,42.349726,1.4638333333333333,1
26081,-85.547446,43.032497,4.9599166666666665,26
12031,-81.648113,30.335245,18.781833333333335,2
34005,-74.663006,39.875786,15.21111111111111,3
55087,-88.464988,44.418226,2.2255833333333332,1
26163,-83.261953,42.284664,6.880944444444445,48
50027,-72.591515,43.588143,17.508305555555555,1
17031,-87.645455,41.894294,2.7689166666666667,17
42017,-75.10706,40.336887,14.6905,4
12011,-80.476658,26.19352,23.383333333333333,16
17043,-88.086038,41.852058,2.548527777777778,4
6087,-122.007205,37.012488,33.14425,21
51600,-77.299025,38.853183,13.695027777777778,5
42003,-79.98092,40.46892,9.943694444444445,11
48167,-94.894865,29.228706,19.202250000000003,1
39035,-81.724217,41.760392,8.3035,4
51650,-76.297149,37.04803,16.462,2
Windsor CAN,-83.026772,42.317432,7.212722222222222,62
25027,-71.940282,42.311693,17.330194444444444,8
39049,-83.008258,39.969447,8.14375,13
33011,-71.723101,42.911643,18.11422222222222,13
18141,-86.288159,41.617699,4.299027777777778,9
34039,-74.308696,40.659871,14.961277777777777,6
26139,-86.655342,42.942346,4.588277777777778,5
39061,-84.544187,39.196927,7.251555555555555,4
36017,-75.604905,42.489732,14.240277777777777,1
48231,-96.083807,33.123438,15.40811111111111,1
25017,-71.396507,42.479477,17.845166666666668,21
9003,-72.732916,41.806053,16.698166666666665,17
8069,-105.482131,40.663091,15.924083333333332,3
19103,-91.588812,41.668737,3.180833333333333,1
55043,-90.695368,42.870062,1.5338611111111111,1
9013,-72.340977,41.858076,16.925361111111112,3
36067,-76.196117,43.00653,13.265,1
25013,-72.635648,42.136198,16.503583333333335,4
12099,-80.448673,26.645763,22.950666666666667,6
12085,-80.398211,27.079954,22.57336111111111,1
Pickering CAN,-79.086761,43.838413,10.784944444444445,3
36055,-77.664656,43.464475,12.229138888888889,9
26099,-82.910869,42.671467,7.592055555555556,15
34007,-74.961251,39.802352,15.005444444444445,5
33005,-72.248217,42.925455,17.3115,5
34041,-75.009542,40.853524,14.157138888888888,3
42131,-76.00878,41.525137,13.863444444444445,1
34031,-74.300308,41.033763,14.793333333333333,2
42133,-76.728446,39.921839,13.32063888888889,1
9009,-72.900204,41.349717,16.414055555555557,9
36089,-75.074311,44.488113,14.542,1
48201,-95.393037,29.857273,18.255222222222223,17
12009,-80.700384,28.298276,20.966,4
18097,-86.135794,39.782976,5.572444444444444,6
9007,-72.524227,41.434525,16.815055555555556,5
