FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,36.625305555555556,28
6037,-118.261862,34.196398,6.504611111111111,66
6081,-122.371542,37.414664,1.131722222222222,29
34027,-74.547427,40.858581,43.99311111111111,5
5005,-92.330438,36.28071,30.96886111111111,2
36093,-74.043583,42.817542,44.540638888888886,2
12117,-81.13198,28.690079,44.48619444444444,2
25023,-70.741942,41.987196,47.83563888888889,4
34023,-74.407585,40.439593,44.63025,6
36103,-72.692218,40.943554,46.02033333333333,15
40143,-95.941731,36.120121,26.91988888888889,10
1083,-86.9814,34.810239,35.77580555555556,1
34035,-74.61993,40.565522,44.33730555555555,9
18067,-86.114118,40.483537,34.861444444444444,3
39155,-80.767656,41.308936,38.4475,4
23005,-70.330375,43.808348,49.027944444444444,7
12086,-80.499045,25.610494,47.91261111111111,5
4015,-113.749689,35.717705,11.7645,1
44007,-71.578242,41.870488,47.28341666666666,7
42049,-80.096386,42.117952,39.12313888888889,4
26161,-83.844634,42.252327,35.931638888888884,20
25025,-71.020173,42.33196,47.39933333333334,21
26049,-83.706372,43.021077,36.40897222222222,32
18089,-87.374337,41.472239,32.91169444444444,3
26159,-86.305697,42.283986,34.06986111111111,12
44005,-71.284063,41.502732,47.563583333333334,2
12103,-82.739518,27.903122,44.68011111111111,2
17177,-89.665994,42.349726,31.699416666666664,1
26081,-85.547446,43.032497,35.16233333333333,26
12031,-81.648113,30.335245,42.68933333333334,2
34005,-74.663006,39.875786,44.70641666666667,3
55087,-88.464988,44.418226,33.73652777777778,1
26163,-83.261953,42.284664,36.35938888888889,48
50027,-72.591515,43.588143,47.00361111111111,1
17031,-87.645455,41.894294,32.856833333333334,17
42017,-75.10706,40.336887,44.185805555555554,4
12011,-80.476658,26.19352,47.29544444444445,16
17043,-88.086038,41.852058,32.325,4
6087,-122.007205,37.012488,1.332527777777778,21
51600,-77.299025,38.853183,43.190333333333335,5
42003,-79.98092,40.46892,39.439,11
48167,-94.894865,29.228706,30.52436111111111,1
39035,-81.724217,41.760392,37.79880555555556,4
51650,-76.297149,37.04803,45.271055555555556,2
Windsor CAN,-83.026772,42.317432,36.69116666666667,62
25027,-71.940282,42.311693,46.8255,8
39049,-83.008258,39.969447,37.20113888888889,13
33011,-71.723101,42.911643,47.60952777777777,13
18141,-86.288159,41.617699,33.77747222222222,9
34039,-74.308696,40.659871,44.456583333333334,6
26139,-86.655342,42.942346,34.890277777777776,5
39061,-84.544187,39.196927,36.16311111111111,4
36017,-75.604905,42.489732,43.73558333333334,1
48231,-96.083807,33.123438,27.729833333333332,1
25017,-71.396507,42.479477,47.340472222222225,21
9003,-72.732916,41.806053,46.19347222222222,17
8069,-105.482131,40.663091,18.90761111111111,3
19103,-91.588812,41.668737,29.09825,1
55043,-90.695368,42.870062,31.044194444444447,1
9013,-72.340977,41.858076,46.42066666666666,3
36067,-76.196117,43.00653,42.760305555555554,1
25013,-72.635648,42.136198,45.99888888888889,4
12099,-80.448673,26.645763,46.86277777777778,6
12085,-80.398211,27.079954,46.48547222222223,1
Pickering CAN,-79.086761,43.838413,40.65680555555556,3
36055,-77.664656,43.464475,41.724444444444444,9
26099,-82.910869,42.671467,37.070499999999996,15
34007,-74.961251,39.802352,44.500750000000004,5
33005,-72.248217,42.925455,46.806805555555556,5
34041,-75.009542,40.853524,43.65244444444444,3
42131,-76.00878,41.525137,43.35875,1
34031,-74.300308,41.033763,44.28863888888889,2
42133,-76.728446,39.921839,42.81594444444444,1
9009,-72.900204,41.349717,45.90936111111112,9
36089,-75.074311,44.488113,44.41386111111111,1
48201,-95.393037,29.857273,29.69375,17
12009,-80.700384,28.298276,44.87811111111112,4
18097,-86.135794,39.782976,34.62983333333333,6
9007,-72.524227,41.434525,46.310361111111106,5
9005,-73.235428,41.791897,45.97225,6
26115,-83.487106,41.916097,36.499722222222225,5
36001,-73.974014,42.588271,44.95788888888889,4
6085,-121.690622,37.220777,1.1709444444444443,14
55133,-88.306707,43.019308,32.89619444444445,20
36059,-73.589384,40.729687,45.16241666666667,31
42091,-75.370201,40.209999,43.946638888888884,4
39095,-83.468867,41.682321,36.19613888888889,6
45045,-82.372077,34.892645,40.64622222222222,5
34021,-74.703724,40.282503,44.368944444444445,15
6067,-121.340441,38.450011,1.8061666666666667,12
Longueuil CAN,-73.510712,45.536945,45.66902777777778,23
34033,-75.357356,39.573828,44.60744444444444,1
33001,-71.425366,43.519109,48.232861111111106,4
42101,-75.133346,40.009376,44.046055555555554,13
36047,-73.950777,40.635133,45.113277777777775,10
54045,-81.940853,37.830591,39.636861111111116,1
51179,-77.459043,38.418933,43.81286111111111,1
36051,-77.76978,42.727485,41.624722222222225,2
45019,-79.94248,32.800458,43.064416666666666,5
45073,-83.061522,34.748759,40.236000000000004,1
51041,-77.585847,37.378434,44.35169444444445,2
53053,-122.144709,47.040716,13.148194444444444,16
28047,-89.083376,30.416536,35.675583333333336,3
10003,-75.644132,39.575915,44.263194444444444,3
36085,-74.137063,40.563855,44.82563888888888,4
36063,-78.792143,43.456731,40.875,2
51087,-77.300333,37.437521,44.26247222222222,4
36005,-73.852939,40.848711,44.791111111111114,12
51121,-80.387314,37.174885,41.42491666666667,1
48453,-97.69127,30.239513,27.203944444444442,9
51760,-77.476009,37.531399,44.04163888888889,5
37183,-78.650624,35.789846,43.85002777777778,11
1089,-86.55108,34.764238,35.931444444444445,5
18095,-85.722454,40.166203,35.18372222222222,1
11001,-77.017094,38.904149,43.32891666666667,15
28149,-90.851791,32.357005,32.64830555555555,1
48029,-98.520147,29.448671,26.431916666666666,19
18157,-86.893943,40.38926,34.2215,4
42045,-75.398786,39.91667,43.98991666666667,10
53035,-122.649636,47.639687,13.173305555555556,22
53033,-121.832375,47.493554,13.187916666666666,14
4013,-112.495534,33.346541,11.611694444444444,31
19013,-92.306059,42.472888,29.342861111111112,4
1095,-86.321668,34.309564,36.57763888888889,1
47103,-86.593388,35.142532,36.19419444444445,1
34013,-74.246136,40.787217,44.249111111111105,8
2020,-149.274354,61.177549,60.608916666666666,1
36069,-77.303277,42.856695,41.89530555555556,11
6029,-118.729506,35.346629,5.416416666666667,3
37135,-79.119355,36.062499,43.335055555555556,3
28099,-89.119274,32.752518,34.702777777777776,1
East York CAN,-79.341667,43.6912,40.494194444444446,16
51610,-77.174639,38.883787,43.10752777777778,5
51685,-77.448681,38.768991,43.33897222222222,5
51510,-77.082026,38.818343,43.276722222222226,4
51540,-78.485381,38.037658,42.997027777777774,1
48157,-95.771015,29.526602,29.36075,6
36109,-76.473712,42.453281,42.80988888888889,2
36081,-73.837929,40.658557,45.151944444444446,13
48027,-97.481921,31.04211,27.513444444444442,5
17161,-90.572203,41.468404,30.03247222222222,2
8073,-103.507555,38.99374,21.067944444444446,1
24021,-77.397627,39.470427,42.40991666666667,3
34017,-74.078627,40.731384,44.4405,4
39153,-81.534936,41.121851,37.92433333333334,2
4021,-111.367257,32.91891,13.207027777777778,14
6095,-121.939594,38.267226,1.063,5
26145,-84.05541,43.328267,36.91586111111111,14
Vaughan CAN,-79.508278,43.837208,40.28216666666666,11
41017,-121.225575,43.915118,8.318694444444445,4
Mississauga CAN,-79.640579,43.59531,40.000750000000004,17
26069,-82.849447,44.329482,38.315,1
6073,-116.776117,33.023604,8.485888888888889,46
13067,-84.574166,33.93994,38.42655555555556,10
42077,-75.590627,40.614241,43.498805555555556,1
24037,-76.534271,38.222666,44.494416666666666,1
6013,-121.951543,37.919479,0.7673888888888889,14
41003,-123.426317,44.490623,9.457861111111113,5
26061,-88.652066,46.998305,35.44163888888889,5
18057,-86.020586,40.04987,34.68325,4
38035,-97.450851,47.926003,27.905194444444444,1
38095,-99.248158,48.682183,27.188944444444445,1
50017,-72.369687,44.003392,47.590444444444444,2
24027,-76.924406,39.252264,42.91352777777778,7
37063,-78.877919,36.036589,43.56747222222222,7
29510,-90.244582,38.635699,31.397944444444445,12
20079,-97.436707,38.050144,26.478055555555557,1
20209,-94.763087,39.115384,27.598166666666664,19
20059,-95.278962,38.558019,27.99588888888889,1
12095,-81.323295,28.514435,44.18102777777778,8
19113,-91.597674,42.077951,29.59711111111111,2
6079,-120.44754,35.385227,3.7718611111111113,3
51083,-78.939614,36.766461,43.92363888888889,1
32003,-115.013819,36.214236,9.413027777777778,13
39017,-84.565397,39.439915,36.37694444444445,2
45067,-79.362131,34.080701,43.275416666666665,2
33015,-71.099437,42.98936,48.09877777777778,8
Whitby CAN,-78.942932,43.897545,40.7385,4
51085,-77.490992,37.760166,43.965833333333336,4
55131,-88.232917,43.391156,33.35636111111111,6
29183,-90.674915,38.781102,30.944166666666668,5
9001,-73.366757,41.228103,45.50516666666667,7
13245,-82.074998,33.361487,40.57391666666667,6
20121,-94.832963,38.566772,28.197194444444442,1
24003,-76.560511,38.993374,43.39655555555556,5
St. Catharines CAN,-79.246864,43.159374,40.16433333333333,3
51115,-76.268808,37.425348,45.36130555555556,1
42069,-75.609587,41.44025,43.19397222222222,1
25021,-71.179875,42.169703,47.36152777777778,7
8013,-105.398382,40.094826,19.552666666666667,3
35013,-106.832182,32.350912,17.795805555555557,1
29189,-90.445954,38.640702,31.17375,9
17163,-89.928546,38.470198,31.786416666666668,1
37089,-82.479634,35.336424,40.42955555555555,1
8014,-105.052125,39.953383,19.233416666666667,5
Markham CAN,-79.337021,43.856098,40.37719444444444,8
33013,-71.68013,43.299485,47.80522222222222,8
39103,-81.899566,41.116051,37.73266666666667,4
48071,-94.668875,29.703933,30.489638888888887,1
13135,-84.022938,33.959101,38.79875,6
51690,-79.863648,36.683527,42.88897222222222,2
45051,-78.976675,33.909269,43.804833333333335,10
25009,-70.865107,42.642711,47.85219444444444,6
45063,-81.272853,33.892554,41.229166666666664,1
48397,-96.407501,32.889216,27.483500000000003,2
56025,-106.764877,42.973641,18.222527777777778,1
Sudbury CAN,-80.995415,46.493919,42.23125,4
55025,-89.417852,43.067468,31.94344444444444,1
33017,-71.035927,43.293177,48.37505555555556,4
39041,-83.007462,40.278941,37.404805555555555,2
6039,-119.749852,37.210039,3.1306944444444444,1
8045,-107.90978,39.599352,18.728166666666667,1
8031,-104.880625,39.761849,19.51141666666667,11
41043,-122.543756,44.494824,9.879472222222223,1
12057,-82.349568,27.90659,44.44897222222222,4
42029,-75.749732,39.973965,43.67619444444444,4
45079,-80.896566,34.029783,41.75116666666667,5
51117,-78.368959,36.687256,44.42311111111111,1
13121,-84.468182,33.790034,38.25244444444444,10
28109,-89.586832,30.773791,35.516527777777775,1
6019,-119.655019,36.761006,3.0523055555555554,11
41067,-123.097615,45.553542,10.608972222222222,8
41051,-122.417173,45.547693,10.561055555555557,16
20099,-95.297473,37.191468,28.61611111111111,1
47093,-83.937721,35.992727,38.378527777777784,8
48339,-95.503523,30.302364,30.062833333333334,3
High River CAN,-113.873505,50.584435,21.355083333333333,14
18069,-85.478598,40.826394,35.12866666666667,1
26065,-84.373811,42.603534,35.85733333333333,6
37081,-79.788665,36.079065,42.763083333333334,3
45091,-81.183189,34.97019,41.82713888888889,1
45055,-80.590885,34.338356,42.138083333333334,1
18039,-85.863986,41.600693,34.11036111111111,2
12069,-81.712282,28.764113,43.929138888888886,3
40109,-97.409401,35.554611,25.47372222222222,13
16019,-111.621878,43.395171,13.613833333333334,1
16005,-112.228986,42.692939,12.618055555555555,3
8001,-104.331872,39.874325,20.03025,1
8047,-105.528947,39.861082,19.666666666666668,1
39093,-82.179722,41.438805,37.247638888888886,3
53063,-117.404392,47.620379,14.532472222222223,11
26033,-84.52063,46.321819,38.65591666666666,8
51590,-79.408071,36.583334,43.38013888888889,1
36061,-73.970174,40.776557,44.750750000000004,17
51620,-76.941396,36.684014,45.299277777777775,1
17201,-89.161205,42.337396,31.939416666666666,3
24023,-79.269416,39.529871,41.42758333333333,1
48439,-97.291291,32.77204,26.650361111111113,9
6077,-121.272237,37.935034,1.317,1
36021,-73.626805,42.247729,45.363305555555556,2
34003,-74.074522,40.95909,44.44222222222222,5
26077,-85.532854,42.246266,34.46175,13
6113,-121.903178,38.679268,1.4185555555555556,3
26087,-83.224325,43.088633,36.84375,9
20091,-94.82233,38.883907,27.844472222222223,6
26055,-85.553848,44.718688,37.09763888888889,7
55009,-87.995926,44.473961,34.137,1
24005,-76.616569,39.443167,43.22541666666667,3
18035,-85.398856,40.227165,35.39675,1
29095,-94.342507,39.007233,27.942583333333335,11
4023,-110.84519,31.525904,14.86261111111111,5
51061,-77.821585,38.744103,43.30052777777777,2
17179,-89.51626,40.508074,31.674472222222224,3
29047,-94.421502,39.315551,27.660333333333334,7
9011,-72.103452,41.47863,46.650444444444446,3
18081,-86.0946,39.495986,34.91858333333333,3
12021,-81.400884,26.118713,46.84097222222222,1
48113,-96.778424,32.766987,27.093083333333336,19
13117,-84.127336,34.225143,38.939166666666665,8
40119,-96.975255,36.079225,26.333444444444442,1
17143,-89.767358,40.785999,31.197916666666668,3
45041,-79.710233,34.028535,42.95975,1
39055,-81.173505,41.499322,38.11986111111111,2
34015,-75.143708,39.721019,44.50216666666666,2
51710,-76.244641,36.923015,45.41330555555555,1
8059,-105.245601,39.58646,19.610249999999997,2
27053,-93.475185,45.006064,30.13875,21
48303,-101.819944,33.611469,22.177111111111113,6
22017,-93.882423,32.577195,30.038555555555558,1
45013,-80.68932,32.358147,42.67041666666667,1
51683,-77.484727,38.747561,43.37441666666666,2
16001,-116.244456,43.447861,10.409722222222221,4
51131,-75.923868,37.302629,46.18347222222222,1
22103,-89.951962,30.410022,34.835388888888886,5
26123,-85.791423,43.562709,35.826499999999996,4
6025,-115.355395,33.040816,9.567083333333333,5
34037,-74.691855,41.137424,44.0665,2
Barrie CAN,-79.690331,44.389355,40.869416666666666,7
17089,-88.42804,41.939594,32.024027777777775,4
27123,-93.100141,45.01525,30.360777777777777,38
36007,-75.830291,42.161977,43.16152777777778,1
26015,-85.31455,42.582811,35.21072222222222,4
Hamilton CAN,-79.843826,43.255203,39.70344444444444,6
22105,-90.406633,30.621581,34.628083333333336,1
51075,-77.914273,37.724166,43.55458333333333,1
16021,-116.524619,48.773065,17.329777777777778,1
55035,-91.286414,44.726355,31.67252777777778,1
12127,-81.161813,29.057617,44.28247222222222,1
29037,-94.354242,38.647159,28.235833333333332,2
40147,-95.906155,36.70438,27.61888888888889,1
29147,-94.883281,40.360484,26.644750000000002,1
27139,-93.534553,44.651932,29.717888888888886,6
27163,-92.890117,45.037929,30.486638888888887,8
27003,-93.242723,45.27411,30.55997222222222,5
22089,-90.359314,29.913833,34.94244444444445,3
28035,-89.259447,31.18858,35.05983333333333,1
55039,-88.493284,43.754722,33.12683333333334,1
24013,-77.015512,39.563189,43.01152777777778,1
Burlington CAN,-79.817734,43.328674,39.70480555555555,5
6001,-121.913304,37.648081,0.5764722222222223,6
27037,-93.062481,44.670893,30.33469444444444,9
26137,-84.576597,45.021794,37.810750000000006,2
39077,-82.594641,41.14508,37.10997222222222,1
Distrito Federal MEX,-99.1309882,19.44244244,36.04486111111111,9
17093,-88.430626,41.58814,32.08561111111111,2
40125,-96.957007,35.211393,26.123666666666665,3
40123,-96.692738,34.721071,26.817722222222223,1
40137,-97.855607,34.481361,25.631361111111108,1
51700,-76.521719,37.075978,45.14930555555556,2
50021,-73.038196,43.580844,46.185833333333335,1
40015,-98.381045,35.16792,24.937638888888888,1
40021,-94.996796,35.904367,27.936333333333334,1
51059,-77.276117,38.833743,43.207027777777775,1
29177,-93.995746,39.308401,28.09091666666667,1
49035,-111.924244,40.667882,11.446750000000002,18
4005,-111.773728,35.829692,13.369222222222222,1
6059,-117.777207,33.675687,6.853694444444444,44
27137,-92.463645,47.583852,31.28172222222222,4
27035,-94.071213,46.491114,29.817666666666668,3
27085,-94.27232,44.821644,29.554305555555555,2
55031,-91.89258,46.463316,31.866000000000003,5
27083,-95.847268,44.409195,27.74761111111111,1
41039,-122.897678,43.928276,8.653083333333333,1
53061,-121.766412,48.054913,14.824222222222222,9
50005,-72.112168,44.468791,47.78052777777778,1
27109,-92.406722,44.00343,29.954888888888892,2
24510,-76.610516,39.300214,43.21116666666667,2
27149,-95.992315,45.593461,28.918305555555555,1
42075,-76.458009,40.367344,42.908055555555556,1
6041,-122.745974,38.051817,1.073388888888889,2
12091,-86.594194,30.665858,38.30025,2
42043,-76.792634,40.412565,42.64783333333334,1
48005,-94.611056,31.251951,30.20922222222222,2
16027,-116.708527,43.623051,9.782305555555556,1
26147,-82.668914,42.928804,37.21080555555555,13
Surrey CAN,-122.801094,49.104431,15.240222222222224,6
Kitchener CAN,-80.495064,43.452969,39.500750000000004,8
26075,-84.420868,42.248474,35.383500000000005,8
48109,-104.526945,31.445909,21.515583333333336,1
54061,-80.059074,39.633645,40.525638888888885,1
26111,-84.37922,43.648378,36.93522222222222,9
50019,-72.25163,44.828442,47.24486111111111,5
37157,-79.782889,36.380927,43.158611111111114,1
37147,-77.372404,35.591065,45.19463888888889,2
23011,-69.765764,44.417012,49.823277777777776,8
27135,-95.82153,48.761066,29.93952777777778,3
35029,-107.746639,32.184482,16.911,1
Major's Hill Park CAN,-75.69883,45.427944,44.509861111111114,5
36045,-76.053522,43.995371,43.726055555555554,2
48215,-98.18099,26.396384,30.04486111111111,14
40027,-97.328332,35.203117,25.833972222222222,1
21185,-85.456059,38.400046,35.707277777777776,1
36083,-73.513845,42.710421,45.1155,3
48139,-96.798336,32.347279,27.36563888888889,2
53011,-122.485903,45.771674,10.841472222222222,3
55139,-88.668149,44.085707,33.37086111111111,1
55079,-87.481575,43.017655,33.147888888888886,2
27091,-94.537198,43.677118,28.139916666666664,1
21067,-84.458443,38.040157,36.56225,1
27157,-92.233341,44.289693,30.568944444444444,1
48473,-95.982102,30.013578,29.206194444444446,2
27077,-94.904634,48.7681,30.685805555555554,1
51550,-76.301788,36.679376,45.73211111111111,1
48309,-97.201472,31.549493,27.69252777777778,3
