City,Teams In Limits,Lat,Lng
Seattle,184,47.6032,-122.3303
Miami Beach,212,25.8130,-80.1341
Portland,297,45.5200,-122.6819
Tampa,305,27.9474,-82.4588
Denver,321,39.7392,-104.9903
Orlando,329,28.5383,-81.3789
San Antonio,347,29.4167,-98.5000
San Diego,352,32.7150,-117.1625
Anaheim,356,33.8345,-117.9156
Los Angeles,356,34.0522,-118.2433
Austin,358,30.2650,-97.7466
Phoenix,365,33.4500,-112.0667
San Francisco,383,37.7749,-122.4194
San Jose,385,37.3333,-121.9000
Las Vegas,402,36.1691,-115.1406
Houston,413,29.7628,-95.3831
Jacksonville,425,30.3369,-81.6614
Reno,450,39.5272,-119.8219
Salt Lake City,460,40.7500,-111.8833
New Orleans,483,29.9518,-90.0746
Dallas,493,32.7758,-96.7967
Boston,982,42.3581,-71.0636
Atlanta,1069,33.7485,-84.3915
Omaha,1081,41.2500,-96.0000
Hartford,1114,41.7658,-72.6734
Kansas City,1191,39.0997,-94.5783
Raleigh,1209,35.7806,-78.6389
Milwaukee,1236,43.0500,-87.9500
Atlantic City,1256,39.3606,-74.4319
Ocean City,1256,38.3914,-75.0697
New York,1280,40.7130,-74.0072
Charlotte,1326,35.2238,-80.8411
Philadelphia,1338,39.9500,-75.1667
St. Louis,1393,38.6270,-90.1994
Nashville,1399,36.1667,-86.7833
Baltimore,1444,39.2833,-76.6167
Washington,1445,38.9072,-77.0369
Rosemont,1450,41.9908,-87.8739
Chicago,1508,41.8832,-87.6324
Grand Rapids,1545,42.9655,-85.6702
Pittsburgh,1580,40.4422,-79.9950
Louisville,1619,38.2500,-85.7667
Indianapolis,1665,39.7910,-86.1480
Columbus,1710,39.9833,-82.9833
Cleveland,1715,41.4822,-81.6697
Detroit,1733,42.3329,-83.0478
