City,Teams In Limits,Lat,Lng
Louisville,2117,38.2500,-85.7667
Indianapolis,2104,39.7910,-86.1480
Chicago,2031,41.8832,-87.6324
Rosemont,2020,41.9908,-87.8739
Columbus,2015,39.9833,-82.9833
Grand Rapids,1969,42.9655,-85.6702
Nashville,1951,36.1667,-86.7833
Cleveland,1943,41.4822,-81.6697
St. Louis,1939,38.6270,-90.1994
Detroit,1925,42.3329,-83.0478
Pittsburgh,1911,40.4422,-79.9950
Milwaukee,1889,43.0500,-87.9500
Charlotte,1836,35.2238,-80.8411
Atlanta,1752,33.7485,-84.3915
Washington,1702,38.9072,-77.0369
Raleigh,1682,35.7806,-78.6389
Baltimore,1679,39.2833,-76.6167
Kansas City,1629,39.0997,-94.5783
Philadelphia,1626,39.9500,-75.1667
Ocean City,1591,38.3914,-75.0697
Atlantic City,1581,39.3606,-74.4319
New York,1569,40.7130,-74.0072
Hartford,1477,41.7658,-72.6734
Omaha,1470,41.2500,-96.0000
Boston,1361,42.3581,-71.0636
Jacksonville,1225,30.3369,-81.6614
New Orleans,1125,29.9518,-90.0746
Dallas,1017,32.7758,-96.7967
Denver,958,39.7392,-104.9903
Houston,725,29.7628,-95.3831
Orlando,690,28.5383,-81.3789
Austin,661,30.2650,-97.7466
Salt Lake City,625,40.7500,-111.8833
Tampa,593,27.9474,-82.4588
San Antonio,590,29.4167,-98.5000
Phoenix,590,33.4500,-112.0667
Reno,538,39.5272,-119.8219
San Jose,502,37.3333,-121.9000
San Francisco,500,37.7749,-122.4194
Las Vegas,481,36.1691,-115.1406
Anaheim,450,33.8345,-117.9156
Los Angeles,450,34.0522,-118.2433
Portland,422,45.5200,-122.6819
San Diego,416,32.7150,-117.1625
Miami Beach,387,25.8130,-80.1341
Seattle,304,47.6032,-122.3303
