Team,Wins,Losses,Ties,Ratio,,,,
254,46,0,0,99999,,,1147,0.31468
1323,47,1,0,47,,,1396,0.38299
1678,58,5,0,11.6,,,,
148,44,4,0,11,,,,
195,65,6,0,10.83333333,,,,
2767,65,6,0,10.83333333,,,,
2056,65,6,0,10.83333333,,,,
4539,41,4,0,10.25,,,,
2481,58,6,1,9.666666667,,,,
217,75,8,0,9.375,,,,
3357,82,9,0,9.111111111,,,,
118,62,7,0,8.857142857,,,,
842,42,5,1,8.4,,,,
3310,45,6,0,7.5,,,,
2590,80,12,0,6.666666667,,,,
1538,39,6,0,6.5,,,,
340,43,7,0,6.142857143,,,,
1796,54,9,1,6,,,,
2910,58,10,0,5.8,,,,
225,75,13,0,5.769230769,,,,
3646,39,7,0,5.571428571,,,,
5883,38,7,0,5.428571429,,,,
4003,63,12,0,5.25,,,,
1325,71,14,0,5.071428571,,,,
1241,75,15,0,5,,,,
1574,55,12,0,4.583333333,,,,
25,73,16,0,4.5625,,,,
3538,73,16,0,4.5625,,,,
3707,61,14,0,4.357142857,,,,
694,52,12,0,4.333333333,,,,
4613,39,9,0,4.333333333,,,,
330,39,9,0,4.333333333,,,,
1772,13,3,0,4.333333333,,,,
1619,55,13,0,4.230769231,,,,
4253,54,13,0,4.153846154,,,,
1918,54,13,0,4.153846154,,,,
5190,54,13,0,4.153846154,,,,
2122,57,14,0,4.071428571,,,,
230,68,17,0,4,,,,
302,64,16,1,4,,,,
3476,40,10,0,4,,,,
3478,40,10,0,4,,,,
1259,36,9,0,4,,,,
2791,39,10,0,3.9,,,,
5572,38,10,0,3.8,,,,
971,34,9,0,3.777777778,,,,
610,52,14,0,3.714285714,,,,
5687,66,18,0,3.666666667,,,,
494,58,16,1,3.625,,,,
1114,54,15,0,3.6,,,,
319,68,19,0,3.578947368,,,,
624,50,14,0,3.571428571,,,,
2471,53,15,1,3.533333333,,,,
1629,49,14,1,3.5,,,,
846,35,10,0,3.5,,,,
3691,7,2,0,3.5,,,,
1648,66,19,0,3.473684211,,,,
133,52,15,0,3.466666667,,,,
1425,52,15,1,3.466666667,,,,
4910,51,15,0,3.4,,,,
5406,54,16,0,3.375,,,,
16,37,11,0,3.363636364,,,,
179,37,11,0,3.363636364,,,,
2046,67,20,0,3.35,,,,
1577,50,15,0,3.333333333,,,,
6907,20,6,0,3.333333333,,,,
3010,10,3,0,3.333333333,,,,
4917,56,17,0,3.294117647,,,,
1533,55,17,0,3.235294118,,,,
125,74,23,0,3.217391304,,,,
3309,45,14,0,3.214285714,,,,
868,64,20,0,3.2,,,,
1305,48,15,1,3.2,,,,
2478,35,11,0,3.181818182,,,,
1339,22,7,0,3.142857143,,,,
4513,50,16,0,3.125,,,,
2168,62,20,0,3.1,,,,
2403,34,11,0,3.090909091,,,,
2052,34,11,0,3.090909091,,,,
1806,37,12,0,3.083333333,,,,
2614,49,16,0,3.0625,,,,
3452,54,18,0,3,,,,
973,33,11,0,3,,,,
6579,24,8,0,3,,,,
6174,6,2,0,3,,,,
3341,6,2,0,3,,,,
3953,6,2,0,3,,,,
2337,65,22,0,2.954545455,,,,
1747,62,21,2,2.952380952,,,,
176,53,18,0,2.944444444,,,,
56,50,17,1,2.941176471,,,,
1506,44,15,0,2.933333333,,,,
3512,35,12,0,2.916666667,,,,
2451,49,17,0,2.882352941,,,,
1731,46,16,0,2.875,,,,
6429,23,8,0,2.875,,,,
4564,37,13,0,2.846153846,,,,
2557,51,18,0,2.833333333,,,,
1756,34,12,0,2.833333333,,,,
5818,34,12,0,2.833333333,,,,
3005,34,12,0,2.833333333,,,,
1360,48,17,1,2.823529412,,,,
5172,31,11,0,2.818181818,,,,
291,31,11,0,2.818181818,,,,
6090,50,18,0,2.777777778,,,,
5985,36,13,0,2.769230769,,,,
3990,36,13,0,2.769230769,,,,
4476,47,17,0,2.764705882,,,,
33,58,21,1,2.761904762,,,,
180,33,12,0,2.75,,,,
5948,11,4,0,2.75,,,,
3137,11,4,0,2.75,,,,
2059,60,22,0,2.727272727,,,,
5050,49,18,0,2.722222222,,,,
6418,19,7,0,2.714285714,,,,
1876,19,7,0,2.714285714,,,,
269,19,7,0,2.714285714,,,,
3959,35,13,0,2.692307692,,,,
2642,51,19,0,2.684210526,,,,
384,48,18,1,2.666666667,,,,
3536,48,18,0,2.666666667,,,,
1102,48,18,0,2.666666667,,,,
6022,8,3,0,2.666666667,,,,
4362,61,23,0,2.652173913,,,,
67,66,25,0,2.64,,,,
5663,21,8,0,2.625,,,,
1572,21,8,0,2.625,,,,
1690,47,18,0,2.611111111,,,,
1730,31,12,0,2.583333333,,,,
1706,36,14,0,2.571428571,,,,
1723,36,14,0,2.571428571,,,,
5528,18,7,0,2.571428571,,,,
6705,59,23,0,2.565217391,,,,
2486,28,11,0,2.545454545,,,,
1421,30,12,0,2.5,,,,
7021,30,12,0,2.5,,,,
3997,10,4,0,2.5,,,,
5803,62,25,0,2.48,,,,
5813,42,17,0,2.470588235,,,,
359,49,20,0,2.45,,,,
3098,49,20,0,2.45,,,,
3750,22,9,1,2.444444444,,,,
303,56,23,0,2.434782609,,,,
