3950,2
52.76,23.76,1538832742.4
52.75,23.76,1538832742.5
52.74,23.71,1538832742.6
52.74,23.66,1538832742.7
52.78,23.68,1538832742.8
52.86,23.70,1538832742.9
52.93,23.76,1538832743.0
52.96,23.80,1538832743.1
52.97,23.83,1538832743.2
53.01,23.85,1538832743.3
53.03,23.87,1538832743.4
53.02,23.93,1538832743.5
53.03,23.91,1538832743.6
53.05,23.88,1538832743.7
53.07,23.87,1538832743.8
53.09,23.91,1538832743.9
53.11,23.86,1538832744.0
53.09,23.79,1538832744.1
53.02,23.78,1538832744.2
53.01,23.78,1538832744.3
53.01,23.75,1538832744.4
52.97,23.69,1538832744.5
52.94,23.71,1538832744.6
52.97,23.75,1538832744.7
53.02,23.79,1538832744.8
53.01,23.82,1538832744.9
53.00,23.86,1538832745.0
53.04,23.90,1538832745.1
53.06,23.89,1538832745.2
53.06,23.87,1538832745.3
53.05,23.82,1538832745.4
53.05,23.79,1538832745.5
53.04,23.77,1538832745.6
53.02,23.74,1538832745.7
52.98,23.72,1538832745.8
52.93,23.72,1538832745.9
52.89,23.70,1538832746.0
52.87,23.70,1538832746.1
52.84,23.75,1538832746.2
52.83,23.80,1538832746.3
52.85,23.85,1538832746.4
52.86,23.86,1538832746.5
52.87,23.86,1538832746.6
52.89,23.83,1538832746.7
52.92,23.77,1538832746.8
52.91,23.71,1538832746.9
52.87,23.69,1538832747.0
52.86,23.67,1538832747.1
52.84,23.68,1538832747.2
52.79,23.70,1538832747.3
52.77,23.71,1538832747.4
52.77,23.73,1538832747.5
52.76,23.74,1538832747.6
52.73,23.75,1538832747.7
52.74,23.74,1538832747.8
52.80,23.73,1538832747.9
52.82,23.72,1538832748.0
52.83,23.72,1538832748.1
52.85,23.71,1538832748.2
52.89,23.70,1538832748.3
52.89,23.72,1538832748.4
52.86,23.73,1538832748.5
52.83,23.74,1538832748.6
52.83,23.74,1538832748.7
52.82,23.73,1538832748.8
52.83,23.74,1538832748.9
52.86,23.74,1538832749.0
52.85,23.70,1538832749.1
52.87,23.70,1538832749.2
52.86,23.68,1538832749.3
52.85,23.66,1538832749.4
52.83,23.66,1538832749.5
52.80,23.65,1538832749.6
52.82,23.69,1538832749.7
52.84,23.68,1538832749.8
52.89,23.71,1538832749.9
52.93,23.73,1538832750.0
52.95,23.74,1538832750.1
52.98,23.75,1538832750.2
52.99,23.74,1538832750.3
52.93,23.74,1538832750.4
52.88,23.73,1538832750.5
52.81,23.71,1538832750.6
52.80,23.69,1538832750.7
52.78,23.65,1538832750.8
52.79,23.64,1538832750.9
52.81,23.67,1538832751.0
52.82,23.67,1538832751.1
52.86,23.67,1538832751.2
52.86,23.69,1538832751.3
52.87,23.73,1538832751.4
52.84,23.74,1538832751.5
52.84,23.73,1538832751.6
52.83,23.70,1538832751.7
52.80,23.71,1538832751.8
52.79,23.67,1538832751.9
52.77,23.64,1538832752.0
52.75,23.61,1538832752.1
52.71,23.59,1538832752.2
52.70,23.64,1538832752.3
52.70,23.69,1538832752.4
52.71,23.76,1538832752.5
52.72,23.81,1538832752.6
52.74,23.83,1538832752.7
52.76,23.82,1538832752.8
52.76,23.77,1538832752.9
52.76,23.69,1538832753.0
52.76,23.62,1538832753.1
52.76,23.56,1538832753.2
52.78,23.55,1538832753.3
52.81,23.56,1538832753.4
52.82,23.59,1538832753.5
52.83,23.64,1538832753.6
52.83,23.69,1538832753.7
52.84,23.74,1538832753.8
52.84,23.76,1538832753.9
52.85,23.74,1538832754.0
52.88,23.75,1538832754.1
52.93,23.72,1538832754.2
52.96,23.69,1538832754.3
52.98,23.67,1538832754.4
53.00,23.67,1538832754.5
53.00,23.68,1538832754.6
53.00,23.66,1538832754.7
52.96,23.65,1538832754.8
52.92,23.67,1538832754.9
52.88,23.68,1538832755.0
52.82,23.68,1538832755.1
52.80,23.69,1538832755.2
52.78,23.73,1538832755.3
52.78,23.75,1538832755.4
52.80,23.74,1538832755.5
52.83,23.74,1538832755.6
52.87,23.74,1538832755.7
52.87,23.74,1538832755.8
52.86,23.75,1538832755.9
52.82,23.76,1538832756.0
52.82,23.76,1538832756.1
52.83,23.78,1538832756.2
52.85,23.79,1538832756.3
52.88,23.78,1538832756.4
52.91,23.79,1538832756.5
52.94,23.82,1538832756.6
52.89,23.86,1538832756.7
52.84,23.89,1538832756.8
52.79,23.91,1538832756.9
52.79,23.93,1538832757.0
52.83,23.91,1538832757.1
52.90,23.85,1538832757.2
52.97,23.82,1538832757.3
53.01,23.79,1538832757.4
53.03,23.77,1538832757.5
53.03,23.75,1538832757.6
53.02,23.75,1538832757.7
53.01,23.76,1538832757.8
53.01,23.76,1538832757.9
53.01,23.76,1538832758.0
53.03,23.76,1538832758.1
53.00,23.74,1538832758.2
52.94,23.73,1538832758.3
52.89,23.74,1538832758.4
52.87,23.73,1538832758.5
52.90,23.71,1538832758.6
53.00,23.74,1538832758.7
